razotajs,marka,gads,dzinejs,tilpums,nobraukums,cena,apraksts,bilde,saite
Toyota,Toyota Yaris,2007,Benzīns,1.3,189,3200,"Eauto / 1.3 benzīns 64kw, Automāts. Glīts un akurāts auto. Pirkts jauns ",https://i.ss.lv/gallery/4/777/194038/38807514.th2.jpg,/msg/lv/transport/cars/toyota/yaris/fmobf.html
Audi,Audi A3,1998,Benzīns,1.8,248,1550,"Automātiskā ātrumkārba - strādā ideāli.   Labs un drošs Audi A3 1, 8, 19",https://i.ss.lv/gallery/4/777/194042/38808393.th2.jpg,/msg/lv/transport/cars/audi/a3/hxhoc.html
Bmw,Bmw 320,2013,Dīzelis,2.0,178,13590,"Tikko no Vācijas, Bmw320D, X-Drive, Sport, 179Tk Oriģināls Nobraukums, T",https://i.ss.lv/gallery/4/777/194042/38808371.th2.jpg,/msg/lv/transport/cars/bmw/320/bfpoj.html
Volvo,Volvo V70,2003,Dīzelis,2.4,325,2650,"Sakarā ar jaunu auto iegādi, pārdodu savu labo volvo. Esmu auto visu lai",https://i.ss.lv/gallery/4/777/194042/38808291.th2.jpg,/msg/lv/transport/cars/volvo/v70/bihlhf.html
Opel,Opel Astra,1999,Benzīns,1.8,130,1500,Tiko no Vācijas. Labā tehniskā stāvoklī. Mazs oriģinālais nobraukums ir ,https://i.ss.lv/gallery/4/777/194042/38808211.th2.jpg,/msg/lv/transport/cars/opel/astra/bpkhp.html
Opel,Opel Vectra,2007,Dīzelis,1.9,218,2300,Ja interesē tad viss pa telefonu jebkurā diennakts laikā. Cena nav akmen,https://i.ss.lv/gallery/4/777/194041/38808138.th2.jpg,/msg/lv/transport/cars/opel/vectra/cjenc.html
Lancia,Lancia Delta,2009,Dīzelis,1.6,186,3200,Labā tehniskā un vizuālā stāvoklī,https://i.ss.lv/gallery/4/776/193812/38762244.th2.jpg,/msg/lv/transport/cars/lancia/delta/dfmlm.html
Fiat,Fiat Doblo,2017,Benzīns,1.4,140,7500,Fiat Doblo 5 vietas. Ir iespejams uz nomaksu bez lizinga kompaniju starp,https://i.ss.lv/gallery/4/777/194042/38808280.th2.jpg,/msg/lv/transport/cars/fiat/doblo/ocgxh.html
Peugeot,Peugeot 208,2013,Dīzelis,1.6,219,6250,"Peugeot 208, 1.6Hdi, 90zs. Pirma reğistracija 23.10.2013  Tikko ievests ",https://i.ss.lv/gallery/4/768/191891/38378112.th2.jpg,/msg/lv/transport/cars/peugeot/208/blidcc.html
Audi,Audi A6,2007,Dīzelis,3.0,233,5490,Audi A6 Quattro. 3.0tdi. 171kw. 232zs. kpp aвтомат. ел сидения. подогрев,https://i.ss.lv/gallery/4/771/192534/38506682.th2.jpg,/msg/lv/transport/cars/audi/a6/diixi.html
Bmw,Bmw 120,2007,Dīzelis,1.8,250,3350,"Pārdodas BMW E87, no Vācijas. Auto labā tehniskā un vizuālā stāvoklī, mo",https://i.ss.lv/gallery/4/773/193230/38645908.th2.jpg,/msg/lv/transport/cars/bmw/120/bbjndf.html
Bmw,Bmw 540,2017,Dīzelis,3.0,170,36900,Gimotors Auto Pārdot BMW 540d Xdrive 320hp Mpak.   BMW garantija.     Va,https://i.ss.lv/gallery/4/777/194041/38808111.th2.jpg,/msg/lv/transport/cars/bmw/540/bibin.html
Porsche,Porsche Cayenne,2008,Benzīns,4.8,186,9990,Iespējama maiņa. Nokārtosim līzingu. Līzinga maksājums no 112eur mēnesī.,https://i.ss.lv/gallery/4/777/194041/38808156.th2.jpg,/msg/lv/transport/cars/porsche/cayenne/alxhp.html
Toyota,Toyota Yaris,2017,Hibrīds,1.5,77,11900,"Toyota Yaris Hybrid 1.5l Hibrīds, ar Pvn.     Jaunas mašīnas stāvoklis u",https://i.ss.lv/gallery/4/769/192063/38412552.th2.jpg,/msg/lv/transport/cars/toyota/yaris/beice.html
Mini,Mini Cooper,2015,Benzīns,1.5,352,6790,"1.5i 100kw/136hp, labā komplektācijā par labu cenu.   6 ātrumkārba ar re",https://i.ss.lv/gallery/4/777/194041/38808130.th2.jpg,/msg/lv/transport/cars/mini/cooper/aikmo.html
Nissan,Nissan X-Trail,2004,Dīzelis,2.2,238,2200,"Jaunas riepas 2019 gada, jauns akumulators , samainīta piekare. mašīna n",https://i.ss.lv/gallery/4/777/194041/38808030.th2.jpg,/msg/lv/transport/cars/nissan/x-trail/bicgne.html
Audi,Audi A3,2007,Dīzelis,1.9,272,4500,"Pārdodam 2007. gada Audi A3, 1, 9 dīzelis, 77kW, sportiskā versija ar 5 ",https://i.ss.lv/gallery/4/777/194041/38808075.th2.jpg,/msg/lv/transport/cars/audi/a3/bdoxnm.html
Chrysler,Chrysler Grand Voyager,2011,Dīzelis,2.8,142,8990,Chrysler Grand Voyager 2.8 Crd Limited.   Automašīna Latvijā nav eksplua,https://i.ss.lv/gallery/4/777/194040/38807973.th2.jpg,/msg/lv/transport/cars/chrysler/grand-voyager/ejilc.html
Renault,Renault Scenic,2013,Dīzelis,1.5,136,5850,No Francijas. Viena no pilnakajem. Laba stavokli. Pec visiem apkopem. At,https://i.ss.lv/gallery/4/651/162750/32549916.th2.jpg,/msg/lv/transport/cars/renault/scenic/gpxfm.html
Skoda,Skoda Superb,2016,Dīzelis,2.0,229,14850,"Sakarā ar jauna auto iegādi pārdodu Škoda Superb 2.0tdi, 190zs, 4x4, Lau",https://i.ss.lv/gallery/4/768/191974/38394685.th2.jpg,/msg/lv/transport/cars/skoda/superb/cxccof.html
Citroen,Citroen C4,2009,Benzīns,1.6,220,2290,Pārdošanā C4 Facelift modelis ideālā stāvoklī. Latvijā mazāk nekā pusgad,https://i.ss.lv/gallery/4/776/193946/38789053.th2.jpg,/msg/lv/transport/cars/citroen/c4/pjejd.html
